URL,ADR Folders,Number of ADR Files,Names of ADR Folders,Names of ADR Files
https://github.com/primer/view_components.git,1,2,adr,adr/0250-developing-and-publishing-clientside-behaviours.md| adr/0246-record-architecture-decisions.md
https://github.com/alphagov/email-alert-frontend.git,1,2,docs/arch,docs/arch/adr-002-sessions.md| docs/arch/adr-001-sessions.md
https://github.com/ministryofjustice/opg-use-an-lpa.git,1,19,docs/architecture/decisions,docs/architecture/decisions/0018-session-lifetime-and-session-based-cookies.md| docs/architecture/decisions/0006-continuous-delivery.md| docs/architecture/decisions/0008-session-storage-using-an-encrypted-cookie.md| docs/architecture/decisions/0012-zend-dependency-injection.md| docs/architecture/decisions/0004-no-cdn-required.md| docs/architecture/decisions/0016-logging-and-tracing.md| docs/architecture/decisions/0015-library-for-application-forms.md| docs/architecture/decisions/0003-session-storage-using-jwt.md| docs/architecture/decisions/0011-the-same-zend-application-will-be-used-for-both-viewer-and-actor-components.md| docs/architecture/decisions/0013-application-layer-naming.md| docs/architecture/decisions/0009-use-aws-kms-to-manage-session-encryption-keys.md| docs/architecture/decisions/0019-will-use-symfony-translation-components.md| docs/architecture/decisions/0014-library-for-application-views.md| docs/architecture/decisions/0010-to-host-the-service-in-eu-west-1.md| docs/architecture/decisions/0005-automated-testing.md| docs/architecture/decisions/0017-brute-force-protection-of-application-endpoints.md| docs/architecture/decisions/0007-split-terraform-configuration.md| docs/architecture/decisions/0002-persistent-storage-uses-dynamodb.md| docs/architecture/decisions/0001-record-architecture-decisions.md
https://github.com/WeAreSnook/tech-decisions.git,1,2,,/0001-use-architectural-decision-records.md| /0000-github-vs-gitlab.md
https://github.com/nhsuk/apim-blue-green-deploy.git,1,2,doc/adr,doc/adr/0002-allowed-search-api-versions.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/chrishaverkate/time-diagnostics.git,1,3,doc/adr,doc/adr/0003-macro-for-creating-new-timer.md| doc/adr/0002-using-int-for-timer-id.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/DFE-Digital/cpd-adr.git,1,2,adr,adr/0002-use-cucumber-for-testing.md| adr/0001-record-architecture-decisions.md
https://github.com/ministryofjustice/court-case-matcher.git,1,3,doc/adr,doc/adr/0002-retain-and-process-sns-metadata.md| doc/adr/0003-use-hexagonal-architecture.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/nhsuk/nhsuk-prototype-kit-version-one.git,1,6,docs/technical-decisions,docs/technical-decisions/0001-use-node-and-express.md| docs/technical-decisions/0005-use-handlebars-as-default-templating-solution.md| docs/technical-decisions/0002-use-npm-for-package-management.md| docs/technical-decisions/0006-integrate-frontend-library-as-a-dependency.md| docs/technical-decisions/0004-use-basic-auth-to-secure-published-prototypes.md| docs/technical-decisions/0003-use-npm-scripts-and-gulp-for-running-tasks.md
https://github.com/18F/aocourts-api.git,1,3,doc/adr,doc/adr/0001-cloud-dot-gov.md| doc/adr/0003-python.md| doc/adr/0002-graphql.md
https://github.com/danskernesdigitalebibliotek/ddb-react.git,1,1,architecture,architecture/adr-001-rehydration.md
https://github.com/SAP/cloud-sdk-js.git,2,30,knowledge-base/adr| knowledge-base/implementation-documentation,knowledge-base/adr/0014-template-generation.md| knowledge-base/adr/0001-circuit-breaker-options.md| knowledge-base/adr/0017-code-snippets.md| knowledge-base/adr/0021-odata-url-builder.md| knowledge-base/adr/0009-variadic-functions.md| knowledge-base/adr/0020-generator-options.md| knowledge-base/adr/0028-public-api-extraction.md| knowledge-base/adr/0019-openapi-generator-naming.md| knowledge-base/adr/0010-test-strategy.md| knowledge-base/adr/0003-count.md| knowledge-base/adr/0007-use-yarn-workspaces.md| knowledge-base/adr/0016-structure-of-error-object.md| knowledge-base/adr/0018-openapi-generator.md| knowledge-base/adr/0029-custome-header-handling.md| knowledge-base/adr/0011-logging-cls-storage.md| knowledge-base/adr/0006-resilience-evaluation.md| knowledge-base/adr/0023-nullable-function-action-import-parameter.md| knowledge-base/adr/0013-sdk-2.0.md| knowledge-base/adr/0008-v4-api.md| knowledge-base/adr/0025-x509-service-authentication.md| knowledge-base/adr/0024-url-encoding.md| knowledge-base/adr/0004-cyclic-dependencies.md| knowledge-base/adr/0012-dynamic-log-levels.md| knowledge-base/adr/0027-versioning-strategy.md| knowledge-base/adr/0005-moment-import.md| knowledge-base/adr/0017-builder-methods-multiple-calls.md| knowledge-base/adr/0022-odata-v4-enum.md| knowledge-base/adr/0026-execute-api.md| knowledge-base/adr/0015-date-time-handling.md| knowledge-base/adr/0002-cli-scaffold.md
https://github.com/hmrc/tracking-consent-frontend.git,1,10,docs/adr,docs/adr/0002-use-data-attribute-for-gtm-container.md| docs/adr/0003-use-markdown-architectural-decision-records.md| docs/adr/0001-use-id-and-data-attributes-for-configuration.md| docs/adr/0007-use-eslint-for-linting-and-formatting.md| docs/adr/0009-create-a-library-for-reading-the-user-consent-cookie.md| docs/adr/0010-make-visual-regression-tests-reproducible-on-jenkins.md| docs/adr/0006-make-tracking-consent-available-on-non-tax-domains.md| docs/adr/0008-always-store-consents-individually.md| docs/adr/0005-use-data-attribute-for-language.md| docs/adr/0004-namespace-the-gtm-container-attribute-for-tracking-consent.md
https://github.com/Kava-Labs/kvtool.git,1,1,.,./ADR-001-add-testnet-command.md
https://github.com/VirtualProgrammingLab/documentation.git,1,6,docs/viplab3.0,docs/viplab3.0/system_status.md| docs/viplab3.0/computation.md| docs/viplab3.0/computation_template.md| docs/viplab3.0/computation_result.md| docs/viplab3.0/computation_task.md| docs/viplab3.0/versioning.md
https://github.com/slacgismo/openfido-auth-service.git,1,3,docs/adr,docs/adr/0002-authentication.md| docs/adr/0003-deployment.md| docs/adr/0001-record-architecture-decisions.md
https://github.com/ebi-uniprot/uniprot-website.git,1,6,doc/architecture/decisions,doc/architecture/decisions/0003-design-system.md| doc/architecture/decisions/0006-coding-style.md| doc/architecture/decisions/0004-state-management.md| doc/architecture/decisions/0002-frontend-code.md| doc/architecture/decisions/0005-testing.md| doc/architecture/decisions/0001-record-architecture-decisions.md
https://github.com/openregister/openregister-java.git,1,12,doc/arch,doc/arch/adr-008-items-resource.md| doc/arch/adr-005-tsv-does-not-support-escaping.md| doc/arch/adr-007-read-api-changes.md| doc/arch/adr-003-not-using-xjson-server-as-database.md| doc/arch/adr-010-remove-indexes.md| doc/arch/adr-002-not-using-aws-lambda.md| doc/arch/adr-011-root-path-handling.md| doc/arch/adr-009-trailing-slash.md| doc/arch/adr-006-register-serialization-format.md| doc/arch/adr-012-prefer-arrays-for-collections.md| doc/arch/adr-001-remove-kafka.md| doc/arch/adr-004-merging-apps.md
https://github.com/Amsterdam/blackspots-frontend.git,1,3,docs/adr,docs/adr/0001-create-react-app-as-template.md| docs/adr/0002-amaps-as-map-core.md| docs/adr/0003-react-hook-form.md
https://github.com/orevial/adr-demo.git,1,5,doc/adr,doc/adr/0005-use-gcs-as-storage-backend/0005-use-gcs-as-storage-backend.md| doc/adr/0004-use-elastic-search-for-image-search/0004-use-elastic-search-for-image-search.md| doc/adr/0002-use-microservices-architecture/0002-use-microservices-architecture.md| doc/adr/0003-use-cassandra-as-storage-backend/0003-use-cassandra-as-storage-backend.md| doc/adr/0001-record-architecture-decisions/0001-record-architecture-decisions.md
https://github.com/nhsuk/bunyan-logger.git,1,1,doc/adr,doc/adr/0001-replace-travis-ci-with-github-actions.md
https://github.com/MaibornWolff/codecharta.git,1,9,gh-pages/_posts/adr,gh-pages/_posts/adr/2017-01-02-ADR_6_filters_share_nothing.md| gh-pages/_posts/adr/2017-09-03-ADR_7_pick_visualization_language.md| gh-pages/_posts/adr/2017-01-01-ADR_0_write_adrs.md| gh-pages/_posts/adr/2017-01-02-ADR_4_decide_analysis_architecture.md| gh-pages/_posts/adr/2017-01-02-ADR_5_pick_analysis_cli_library.md| gh-pages/_posts/adr/2017-01-02-ADR_2_pick_analysis_language.md| gh-pages/_posts/adr/2017-01-02-ADR_1_decide_tech_stack.md| gh-pages/_posts/adr/2017-01-02-ADR_3_pick_visualization_language.md| gh-pages/_posts/adr/2022-09-16-ADR_8_angular_migration.md
https://github.com/latis-data/latis3.git,1,5,docs/adr,docs/adr/0003-Sample-objects-implemented-as-domain-range-tuple.md| docs/adr/0002-Decouple-data-and-datatype-objects.md| docs/adr/0005-Operations-defined-in-FDML-schema-as-elements.md| docs/adr/0004-Custom-adapters-defined-outside-core-FDML-schema.md| docs/adr/0001-Scala-programming-language.md
https://github.com/solita/mnt-teet.git,1,4,docs/adr,docs/adr/ADR-1-Code-and-documentation-language.md| docs/adr/ADR-4-AWS-architecture.md| docs/adr/ADR-3-database.md| docs/adr/ADR-2-Frontend-app-structure.md
https://github.com/Orthogonal-Research-Lab/GSoC-Braitenberg-Vehicles.git,1,4,Stefan/doc/adr,Stefan/doc/adr/use_kotlin_tornadofx.md| Stefan/doc/adr/use_javafx_for_animation.md| Stefan/doc/adr/use_two_steps_GA_for_graphs.md| Stefan/doc/adr/use_xchart_for_plotting.md
https://github.com/wmde/wikibase-release-pipeline.git,1,17,docs/adr,docs/adr/0001-docker-image-repository.md| docs/adr/0003-tarball-contents.md| docs/adr/0005-release-notes-process.md| docs/adr/0016-updating-non-wmde-software.md| docs/adr/0006-pipline-runner.md| docs/adr/0002-tarball-hosting.md| docs/adr/0010-queryservice-tarball.md| docs/adr/0017-using-mediawiki-docker-image.md| docs/adr/0013-docker-latest-tag.md| docs/adr/0012-versioning.md| docs/adr/0007-wikibase-release-notes-publish.md| docs/adr/0014-signing-release-packages.md| docs/adr/0015-security-fixes-non-wmde-software.md| docs/adr/0009-non-WMDE-release-notes.md| docs/adr/0004-wdqs-tarball-content.md| docs/adr/0011-wikibase-bundle.md| docs/adr/0008-wmde-repo-release-notes.md
https://github.com/nhsuk/gp-data-etl.git,1,4,doc/adr,doc/adr/0003-store-host-output-file-in-etl-container.md| doc/adr/0002-store-local-copy-of-syndication-data.md| doc/adr/0004-replace-file-hosting-with-cloud-storage.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/heremaps/xyz-spaces-python.git,1,2,docs/adr,docs/adr/0002-use-modern-project-tooling.md| docs/adr/0001-record-architecture-decisions.md
https://github.com/MITLibraries/hoard.git,1,4,doc/adr,doc/adr/0003-use-type-hinting.md| doc/adr/0004-use-airflow-and-fargate.md| doc/adr/0002-use-python.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/cloudfoundry/cf-k8s-networking.git,1,19,doc/architecture-decisions,doc/architecture-decisions/0014-ingress-gateway-as-a-daemon-set.md| doc/architecture-decisions/0017-moving-istio-configuration-out-of-this-repo.md| doc/architecture-decisions/0013-rename-master-branch.md| doc/architecture-decisions/0006-rewrite-http-liveness-readiness-probes-for-healthchecks.md| doc/architecture-decisions/0005-networking-acceptance-tests.md| doc/architecture-decisions/0007-maintain-generated-istio.md| doc/architecture-decisions/0002-directly-create-istio-resources.md| doc/architecture-decisions/0019-route-crd-and-contour-controller.md| doc/architecture-decisions/0010-route-crd-and-kubebuilder-instead-of-metacontroller.md| doc/architecture-decisions/0011-use-kind-clusters-for-routecontroller-integration.md| doc/architecture-decisions/0018-create-policy-server.md| doc/architecture-decisions/0016-job-for-upgrading-istio-sidecars-on-workloads.md| doc/architecture-decisions/0015-app-access-logs-from-ingressgateway.md| doc/architecture-decisions/0012-routecontroller-route-deletion-finalizer.md| doc/architecture-decisions/0004-strategy-for-securing-network-traffic.md| doc/architecture-decisions/0003-tagging-and-publishing-docker-images.md| doc/architecture-decisions/0009-kubebuilder-controllers-dynamic-client-over-generated-clients.md| doc/architecture-decisions/0001-record-architecture-decisions.md| doc/architecture-decisions/0008-implement-workarounds-for-capi-and-log-cache-to-unblock-global-strict-mtls.md
https://github.com/replikativ/datahike-server.git,1,1,doc/adr,doc/adr/0001-record-architecture-decisions.md
https://github.com/sa-mw-dach/manuela.git,1,8,docs/architecture/decisions,docs/architecture/decisions/0002-overall-context-and-container-platform.md| docs/architecture/decisions/0008-need-for-time-series-database.md| docs/architecture/decisions/0004-argocd-as-deployment-agent.md| docs/architecture/decisions/0007-how-to-implement-multiple-demo-instances.md| docs/architecture/decisions/0003-gitops-approach.md| docs/architecture/decisions/0006-single-node-edge-server.md| docs/architecture/decisions/0005-kustomize-as-templating-tool.md| docs/architecture/decisions/0001-record-architecture-decisions.md
https://github.com/wikimedia/wikidata-query-builder.git,1,1,docs/adr,docs/adr/0000-use-toolforge-kubernetes-for-test-system.md
https://github.com/celestiaorg/celestia-node.git,1,3,docs/adr,docs/adr/adr-002-predevnet-core-to-full-communication.md| docs/adr/adr-003-march2022-testnet.md| docs/adr/adr-001-predevnet-celestia-node.md
https://github.com/guardian/prosemirror-elements.git,1,2,docs/decision-records,docs/decision-records/000-element-fields-model.md| docs/decision-records/001-transformers.md
https://github.com/cloudfoundry/cloud_controller_ng.git,1,10,decisions,decisions/0010-renaming-space-application-suporter-role-to-space-supporter.md| decisions/0005-resp-ordering-relat-meta-links.md| decisions/0003-switching-to-request-specs-for-controllers.md| decisions/0008-enhancing-api-error-codes.md| decisions/0006-refactoring-interactions-with-kubernetes-resources.md| decisions/0002-using-machinist-for-factories.md| decisions/0004-adding-key-prefix-to-annotations.md| decisions/0009-services-orphan-mitigation.md| decisions/0001-record-architecture-decisions.md| decisions/0007-implementing-v3-roles.md
https://github.com/uktrade/trade-access-program.git,1,7,docs/adr,docs/adr/0002-deployments.md| docs/adr/0003-events-from-fixture-file.md| docs/adr/0005-viewflow-for-grant-management-portal.md| docs/adr/0007-passwordless-magic-link-authentication-for-frontend.md| docs/adr/0006-split-service-into-two.md| docs/adr/0004-templates-over-js-framework-md.md| docs/adr/0001-record-architecture-decisions.md
https://github.com/adoble/semplate.git,1,9,docs/adr,docs/adr/0001-use-markdown-architectural-decision-records.md| docs/adr/0003-components.md| docs/adr/0008-not-to-use-semantic-triples.md| docs/adr/0007-representation-of-semantic-metadata-in-markdown-documents.md| docs/adr/0009-fluid-interface.md| docs/adr/0006-agnostic-as-to-markdown-type.md| docs/adr/0005-type-representation-in-markdown-documents.md| docs/adr/0004-supports-a-limited-number-of-java-data-types.md| docs/adr/0002-easily-integrated-with-java-projects.md
https://github.com/st3v3nhunt/dotfiles.git,1,5,doc/adr,doc/adr/0004-use-vim-plug-in-favour-of-vundle.md| doc/adr/0003-switch-to-use-zsh-in-place-of-bash.md| doc/adr/0002-replace-travis-ci-with-github-actions.md| doc/adr/0001-record-architecture-decisions.md| doc/adr/0005-use-coc-in-place-of-ycm.md
https://github.com/open-voice-network/docs.git,1,3,architecture/decisions,architecture/decisions/0002-vrs-type.md| architecture/decisions/0003-vrs-integration.md| architecture/decisions/0001-record-architecture-decisions.md
https://github.com/spullepu/jenkins-library-delete.git,1,1,documentation/architecture/decisions,documentation/architecture/decisions/nexusUpload.md
https://github.com/smartboxgroup/integration-framework-bundle.git,1,2,Docs/architecture/decisions,Docs/architecture/decisions/001-amqp.md| Docs/architecture/decisions/002-deprecate-response-fallback.md
https://github.com/UniTemplates/angular4-cli-mvn.git,1,2,docs/adr,docs/adr/0000-use-markdown-architectural-decision-records.md| docs/adr/0001-use-intellij-for-debugging-angular-applications.md
https://github.com/wolframkriesing/jskatas.org.git,1,3,docs/adr,docs/adr/001-server-side-rendering.md| docs/adr/000-use-adrs.md| docs/adr/002-use-lit-html.md
https://github.com/endjin/zero-trust-partner-admin-link.git,1,1,docs/adr,docs/adr/0001-automated-zero-trust-pal.md
https://github.com/robert-stuttaford/bridge.git,1,2,doc/adr,doc/adr/002-code-organisation.md| doc/adr/001-make-small-decisions.md
https://github.com/luizgustavoss/moneycount-api.git,1,4,docs/adr,docs/adr/004-Use_Heroku_As_Deployment.md| docs/adr/003-Document_API_With_Swagger.md| docs/adr/001-Choose_Spring_Boot.md| docs/adr/002-Choose_Persist_Currency_In_Json.md
https://github.com/corvus-dotnet/Corvus.Retry.git,1,1,docs/adr,docs/adr/0001-centralised-access-to-isleepservice.md
https://github.com/hyprnz/terraform-aws-elasticsearch-module.git,1,3,docs/adr,docs/adr/0002-do-not-specify-maximum-version-constraints-for-required-providers.md| docs/adr/0003-provisoning-service-link-role-is-outside-the-scope-of-this-module.md| docs/adr/0001-record-architecture-decisions.md
https://github.com/BrighterCommand/Brighter.git,1,2,doc/adr,doc/adr/0002-use-a-single-threaded-message-pump.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/nhsuk/elasticsearch-updater.git,1,4,doc/adr,doc/adr/0004-remove-snyk.md| doc/adr/0003-remove-unwanted-indexes.md| doc/adr/0002-store-configurations-in-repository.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/tulibraries/tul_cob.git,1,2,doc/architecture-decisions,doc/architecture-decisions/0002-use-separate-solr-cores-for-separate-az-database-document-type.md| doc/architecture-decisions/0001-use-feature-flags-to-toggle-features.md
https://github.com/hycomsa/mokka.git,1,4,doc/adr,doc/adr/index.md| doc/adr/0004-should-wiremock-be-used-as-stubs-engine.md| doc/adr/0003-upgrade-to-spring-boot-2-2-1.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/kbremner/read-more-api.git,1,11,ReadMoreAPI/doc/adr,ReadMoreAPI/doc/adr/0003-use-postgresql.md| ReadMoreAPI/doc/adr/0002-use-asp-net-core.md| ReadMoreAPI/doc/adr/0005-use-docker.md| ReadMoreAPI/doc/adr/0010-feature-toggles.md| ReadMoreAPI/doc/adr/0004-use-dapper-for-data-access.md| ReadMoreAPI/doc/adr/0009-service-layer.md| ReadMoreAPI/doc/adr/0008-protect-exposed-ids.md| ReadMoreAPI/doc/adr/0011-backlog-email-address.md| ReadMoreAPI/doc/adr/0001-record-architecture-decisions.md| ReadMoreAPI/doc/adr/0007-deploy-to-heroku.md| ReadMoreAPI/doc/adr/0006-use-circleci.md
https://github.com/WegenenVerkeer/ng-kaart.git,1,5,docs/adr,docs/adr/0004-webcomponent-classic-kaart.md| docs/adr/0003-feature-caching-zonder-service-worker.md| docs/adr/0002-locatie-adrs.md| docs/adr/0005-links-in-tabel-tonen.md| docs/adr/0001-record-architecture-decisions.md
https://github.com/Ensembl/ols-client.git,1,3,doc/adr,doc/adr/0003-looping-over-list.md| doc/adr/0002-api-result-access.md| doc/adr/0001-record-architecture-decisions.md
https://github.com/status-im/open-bounty.git,1,4,doc/decisions,doc/decisions/0003-include-compiled-web3j-contracts-in-git.md| doc/decisions/0004-use-tachyons.md| doc/decisions/0002-sign-commits-with-gpg.md| doc/decisions/0001-record-decisions.md
https://github.com/alphagov/pay-selfservice.git,1,2,docs/arch,docs/arch/adr-002-in-project-browser-testing.md| docs/arch/adr-001-orchestration-of-new-service-creation.md
https://github.com/mozilla/bedrock.git,1,5,docs/architecture/decisions,docs/architecture/decisions/0004-use-fluent-for-localization.md| docs/architecture/decisions/0003-use-cloudflare-workers-and-convert-for-multi-variant-testing.md| docs/architecture/decisions/0002-move-ci-cd-pipelines-to-gitlab.md| docs/architecture/decisions/0005-use-a-single-docker-image-for-all-deployments.md| docs/architecture/decisions/0001-record-architecture-decisions.md
https://github.com/nolte/terraform-provider-harbor.git,1,2,documentation/adr,documentation/adr/0001-use-swagger-for-generate-http-client.md| documentation/adr/0000-use-markdown-architectural-decision-records.md
https://github.com/dxw/react-template.git,1,14,docs/adr,docs/adr/0003-use-prettier-to-format-code.md| docs/adr/0010-support-cucumber-feature-tests.md| docs/adr/0014-use-dependabot-to-keep-dependencies-up-to-date.md| docs/adr/0002-use-next-js.md| docs/adr/0008-use-styled-jsx.md| docs/adr/0004-use-typescript.md| docs/adr/0007-use-eslint.md| docs/adr/0012-use-docker-to-deploy-and-run-the-service.md| docs/adr/0006-use-snapshot-testing.md| docs/adr/0011-use-axe-for-automated-accessibility-testing.md| docs/adr/0009-use-selenium-for-feature-and-end-to-end-testing.md| docs/adr/0005-use-jest.md| docs/adr/0001-record-architecture-decisions.md| docs/adr/0013-use-normalize-css-to-normalize-styles-across-browsers.md
https://github.com/Abelaa/pcmt.git,1,7,doc/arch,doc/arch/adr-001.md| doc/arch/adr-002.md| doc/arch/adr-003.md| doc/arch/adr-004.md| doc/arch/adr-005.md| doc/arch/adr-006.md| doc/arch/adr-007.md
https://github.com/LBHackney-IT/report-a-defect.git,1,14,doc/architecture/decisions,doc/architecture/decisions/0004-use-pingdom-for-uptime-monitoring.md| doc/architecture/decisions/0006-decision-to-use-heroku.md| doc/architecture/decisions/0012-use-postgres-hobby-basic.md| doc/architecture/decisions/0003-use-new-relic-for-performance-monitoring.md| doc/architecture/decisions/0007-use-postgres-search.md| doc/architecture/decisions/0010-communal-defect-abstraction.md| doc/architecture/decisions/0005-use-docker.md| doc/architecture/decisions/0002-use-sentry-for-application-monitoring.md| doc/architecture/decisions/0011-use-auth0-for-authentication.md| doc/architecture/decisions/0014-use-heroku-scheduler.md| doc/architecture/decisions/0013-use-s3.md| doc/architecture/decisions/0008-usegovuknotifyforemailing.md| doc/architecture/decisions/0001-record-architecture-decisions.md| doc/architecture/decisions/0009-use-sidekiq-and-redis-for-asynchronous-tasks.md
https://github.com/bbc/lrud.git,1,5,docs/ADRs,docs/ADRs/ADR-004-cancellable-movement.md| docs/ADRs/ADR-002-rewrite-version-3.md| docs/ADRs/ADR-003-handling-duplicate-node-ids.md| docs/ADRs/ADR-001-navigation-overrides.md| docs/ADRs/ADR-005-esm-distribution.md
https://github.com/deshpandetanmay/lightweight-architecture-decision-records.git,1,1,doc/adr,doc/adr/0001-use-elasticsearch-for-search-api.md
https://github.com/globtec/phpadr.git,1,6,docs/arch,docs/arch/0003-php-as-scripting-language.md| docs/arch/0001-documenting-architecture-decisions.md| docs/arch/0004-composer-as-dependency-management.md| docs/arch/0005-phpunit-as-testing-framework.md| docs/arch/0002-develop-tool-to-manage-adrs.md| docs/arch/0006-yaml-as-configuration-file.md
https://github.com/nats-io/nats-architecture-and-design.git,1,20,adr,adr/ADR-3.md| adr/ADR-11.md| adr/ADR-20.md| adr/ADR-10.md| adr/ADR-15.md| adr/ADR-9.md| adr/ADR-2.md| adr/ADR-1.md| adr/ADR-21.md| adr/ADR-4.md| adr/ADR-19.md| adr/ADR-5.md| adr/ADR-8.md| adr/ADR-12.md| adr/ADR-6.md| adr/ADR-13.md| adr/ADR-7.md| adr/ADR-14.md| adr/ADR-18.md| adr/ADR-17.md
https://github.com/ElektraInitiative/libelektra.git,1,52,doc/decisions,doc/decisions/cryptograhic_key_handling.md| doc/decisions/cmake_spec.md| doc/decisions/validation.md| doc/decisions/spec_metadata.md| doc/decisions/cmake_plugins.md| doc/decisions/relative.md| doc/decisions/boolean.md| doc/decisions/high_level_api.md| doc/decisions/bootstrap.md| doc/decisions/commit_function.md| doc/decisions/highlevel_help_message.md| doc/decisions/store_name.md| doc/decisions/error_message_format.md| doc/decisions/semantics_name.md| doc/decisions/holes.md| doc/decisions/vendor_spec.md| doc/decisions/array.md| doc/decisions/plugin_variants.md| doc/decisions/global_plugins.md| doc/decisions/elektra_web.md| doc/decisions/rest_api_documentation.md| doc/decisions/ingroup_removal.md| doc/decisions/elektra_web_pubsub.md| doc/decisions/error_handling.md| doc/decisions/null_pointer_checks.md| doc/decisions/error_semantics.md| doc/decisions/deferred_plugin_calls.md| doc/decisions/unit_testing.md| doc/decisions/script_testing.md| doc/decisions/base_name.md| doc/decisions/lookup_every_key.md| doc/decisions/error_code_implementation.md| doc/decisions/empty_files.md| doc/decisions/global_keyset.md| doc/decisions/spec_expressiveness.md| doc/decisions/reference_counting.md| doc/decisions/escaped_name.md| doc/decisions/internal_cache.md| doc/decisions/logging.md| doc/decisions/elektra_web_recursive.md| doc/decisions/default_values.md| doc/decisions/ensure.md| doc/decisions/remove_elektra_malloc.md| doc/decisions/key_string_return_value.md| doc/decisions/multiple_file_backends.md| doc/decisions/library_split.md| doc/decisions/warning_array.md| doc/decisions/capabilities.md| doc/decisions/error_codes.md| doc/decisions/functions_with_buffers.md| doc/decisions/global_validation.md| doc/decisions/iterators.md
